Name,EvolvedIn,Culture#,Day#,TimeMeasured,IC95,IC75,IC50,0.04,0.1,0.26,0.66,1.64,4.1,10.2,25.6,64,160,400,1000,1750,2500
TB194,TMP,0,0,24,1.64,0.66,0.66,0.5993,0.4687,0.492,0.0889,0.00215,0.0015,0.00095,0.002,0,5.00E-05,0.0003,0.00035,0.00025,0
TB194,TMP,0,0,24,1.64,1.64,0.66,0.5745,0.5044,0.5268,0.2068,0.00605,0.0029,0.00405,0.0046,0.0002,0,0.0008,0.00115,0.00255,0
TB194,TMP,0,0,24,1.64,1.64,0.66,0.6181,0.5035,0.5429,0.2902,0.00895,0.0027,0.00485,0.0058,0.0015,0.00035,0.0034,0.00145,0.00285,0.00175
TB194,TMP,0,0,24,1.64,0.66,0.66,0.6153,0.4852,0.4865,0.1509,0.00345,0.0023,0.00135,0,0,0,0,0.00045,0.00115,0
TB194,TMP,0,0,24,1.64,0.66,0.66,0.5981,0.48555,0.5099,0.04915,0.0021,0.00105,0,0,0,0.00055,0,0,0,0
TB194,TMP,0,0,24,1.64,0.66,0.66,0.5752,0.51715,0.5464,0.03015,0.0009,0.00095,0.00085,0.0007,5.00E-05,0.00185,0.0016,0.0012,5.00E-05,0
TB194,TMP,0,0,24,4.1,0.66,0.66,0.5995,0.48075,0.4787,0.06945,0.1095,0.00175,0.00455,0.0022,0.00405,0.00385,0.0027,0.0013,0.00205,0.00035
TB194,TMP,0,0,24,1.64,0.66,0.66,0.5896,0.49775,0.4836,0.08165,0.0024,0.00105,0.00195,0,0.00055,5.00E-05,0,1.00E-04,0,0
TB194,V041,0,0,24,1.64,0.66,0.66,0.68155,0.55895,0.4844,0.06675,0.0025,0.00265,0.002,0,0,0.00025,0.01865,0,0.02825,0.03745
TB194,V041,0,0,24,1.64,0.66,0.66,0.76955,0.58325,0.5098,0.14045,0.0063,0.00205,0.0039,0.0021,0.0006,5.00E-05,0.00815,0,0.00965,0.00355
TB194,V041,0,0,24,1.64,0.66,0.66,0.67615,0.55275,0.4707,0.10015,0.0063,0.00505,0.0044,0.0024,0.0018,0,0.00525,0.00425,0.03335,0
TB194,V041,0,0,24,1.64,0.66,0.66,0.67555,0.53605,0.4268,0.05555,0.0037,0.00195,0.0022,0,0.0004,0,0,0,0.03225,0
TB194,V041,0,0,24,1.64,0.66,0.66,0.56165,0.52145,0.4643,0.04695,0.0067,0.0024,0.0019,0,0,0.00025,0.00095,0.00235,0.0526,0.02445
TB194,V041,0,0,24,1.64,0.66,0.66,0.60605,0.55545,0.4837,0.03065,0.0033,0.0014,0.0006,0.00165,0.0008,0.00125,0.00855,0.00565,0,0.03525
TB194,V041,0,0,24,1.64,0.66,0.66,0.54925,0.51565,0.4977,0.07135,0.0078,0.0034,0.0024,0.00015,0.0009,0.00205,0.00795,0,0,0.02765
TB194,V041,0,0,24,1.64,0.66,0.66,0.54395,0.49995,0.4755,0.04635,0.0027,0.0019,0,0,0,0,0,0.00925,0,0
TB194,TMP,0,0,48,1.64,1.64,0.66,0.6604,0.52315,0.54865,0.2966,0.0021,0.0002,0.0011,0,0.00055,0.0009,0.00145,0,0.00135,0
TB194,TMP,0,0,48,1.64,1.64,1.64,0.5686,0.57195,0.65695,0.4888,0.0053,0.001,0.003,0.0022,0,0.0001,5.00E-05,0.0024,0.00325,0.00145
TB194,TMP,0,0,48,1.64,1.64,1.64,0.6603,0.56425,0.62865,0.5146,0.0068,0.0023,0.0035,0.0043,0.00065,0.0008,0.00175,0.0014,0.00405,0.00165
TB194,TMP,0,0,48,1.64,1.64,1.64,0.6464,0.52845,0.54655,0.4472,0.0015,0.0014,0.0013,0,0,0,0,0.0015,0.00275,0
TB194,TMP,0,0,48,1.64,1.64,1.64,0.55425,0.52865,0.58495,0.38015,0.00165,0.0011,0.00185,0.00015,0.0001,0.0005,0,0.00055,5.00E-05,0.0004
TB194,TMP,0,0,48,1.64,1.64,1.64,0.59095,0.59505,0.64975,0.37815,0.00115,0.0002,0.00175,0.00035,0.0003,0.0007,0.00205,0.00065,0.00055,0.001
TB194,TMP,0,0,48,4.1,4.1,4.1,0.61785,0.50995,0.57415,0.44955,0.55215,0.0018,0.00345,0.00165,0.0007,0.0019,0,0.00245,0.00075,0.0011
TB194,TMP,0,0,48,1.64,1.64,1.64,0.41015,0.53635,0.57265,0.39445,0.00045,0,0.00045,0,0.0001,0,0,0.00095,0,0
TB194,V041,0,0,48,1.64,1.64,0.66,0.4192,0.5851,0.56355,0.23055,0.0017,0.00085,0.0011,0,0,0.0009,0.01855,0,0.0266,0.0417
TB194,V041,0,0,48,1.64,1.64,0.66,0.9074,0.6525,0.61475,0.36395,0.0038,0.00075,0.0017,0,0,0.001,0.00535,0.0039,0.0121,0.0086
