Replica,Name,EvolvedIn,MeasuredIn,Culture#,IC95,IC75,IC50,0.04,0.66,1.64,4.1,10.2,25.6,64.0,160.0,400.0,1000.0,1750.0,2500.0
1,T1D21,TMP,V041,1,1000.0,400.0,160.0,0.48740000000000006,0.4775,0.46830000000000005,0.4444,0.4989,0.4599,0.3443,0.17880000000000001,0.04859999999999999,0.0,0.0,0.0
2,T1D21,TMP,V041,1,400.0,400.0,160.0,0.48130000000000006,0.4536,0.46309999999999996,0.4676,0.4605,0.473,0.323,0.1864,0.0,0.0,0.0,0.0
3,T1D21,TMP,V041,1,400.0,400.0,160.0,0.4868,0.4702,0.4637,0.4649,0.5093,0.47350000000000003,0.33580000000000004,0.183,0.0,0.0,0.0,0.0
4,T1D21,TMP,V041,1,400.0,400.0,160.0,0.46440000000000003,0.47079999999999994,0.4776,0.47340000000000004,0.5063,0.4931,0.3826,0.1634,0.0,0.0,0.0,0.0
5,T1D21,TMP,V041,1,400.0,400.0,160.0,0.482,0.47459999999999997,0.48429999999999995,0.49560000000000004,0.5077,0.5259,0.3295,0.1859,0.0,0.0,0.0,0.0
6,T1D21,TMP,V041,1,400.0,400.0,160.0,0.4869,0.4813,0.5007,0.4757,0.4897,0.4911,0.32670000000000005,0.196,0.0,0.0,0.0,0.0
7,T1D21,TMP,V041,1,400.0,400.0,160.0,0.5047,0.4862,0.48429999999999995,0.483,0.5118,0.4787,0.40430000000000005,0.1419,0.0,0.0,0.0,0.0
1,T2D21,TMP,V041,2,400.0,400.0,160.0,0.4585,0.4445,0.4263,0.42869999999999997,0.44,0.425,0.3425,0.2125,0.0,0.0,0.0,0.0
2,T2D21,TMP,V041,2,400.0,400.0,160.0,0.4655,0.4166,0.4264,0.43179999999999996,0.4411,0.4147,0.3183,0.22890000000000002,0.0,0.0,0.0,0.0
3,T2D21,TMP,V041,2,400.0,400.0,400.0,0.4476,0.4334,0.4308,0.4487,0.4317,0.4197,0.3276,0.2438,0.0,0.0,0.0,0.0
4,T2D21,TMP,V041,2,400.0,400.0,160.0,0.4551,0.4257,0.4424,0.4306,0.4453,0.43770000000000003,0.3221,0.20720000000000002,0.0,0.0,0.0,0.0
5,T2D21,TMP,V041,2,400.0,400.0,160.0,0.4548,0.4434,0.4442,0.43700000000000006,0.505,0.48669999999999997,0.3286,0.1917,0.0,0.0,0.0,0.0
6,T2D21,TMP,V041,2,400.0,400.0,160.0,0.4639,0.4344,0.4551,0.4416,0.4493,0.4602,0.325,0.22480000000000003,0.0,0.0,0.0,0.0
7,T2D21,TMP,V041,2,400.0,400.0,160.0,0.46040000000000003,0.42260000000000003,0.4465,0.45230000000000004,0.4439,0.44580000000000003,0.3518,0.1855,0.0,0.0,0.0,0.0
1,T3D21,TMP,V041,3,400.0,400.0,4.1,0.4654,0.46749999999999997,0.4466,0.1598,0.4613,0.47039999999999993,0.3675,0.2542,0.0,0.0,0.0,0.0
2,T3D21,TMP,V041,3,400.0,400.0,4.1,0.48969999999999997,0.45790000000000003,0.45969999999999994,0.1583,0.4562,0.43579999999999997,0.3712,0.26689999999999997,0.0,0.0,0.0,0.0
3,T3D21,TMP,V041,3,400.0,400.0,4.1,0.4874,0.47490000000000004,0.46859999999999996,0.17440000000000005,0.46060000000000006,0.4319,0.3598,0.2697,0.0,0.0,0.0,0.0
4,T3D21,TMP,V041,3,1000.0,1000.0,4.1,0.4904,0.46690000000000004,0.4673,0.17350000000000004,0.48600000000000004,0.45619999999999994,0.3649,0.2594,0.18480000000000002,0.0,0.0,0.0
5,T3D21,TMP,V041,3,400.0,400.0,4.1,0.45589999999999997,0.4781,0.4823,0.19690000000000002,0.48900000000000005,0.4908,0.365,0.2703,0.0,0.0,0.0,0.0
6,T3D21,TMP,V041,3,400.0,400.0,4.1,0.5018,0.4835,0.4886,0.17860000000000004,0.5162,0.4655,0.3643,0.2788,0.0,0.0,0.0,0.0
7,T3D21,TMP,V041,3,400.0,400.0,4.1,0.5116,0.48210000000000003,0.4793,0.19680000000000003,0.49279999999999996,0.46309999999999996,0.3721,0.23719999999999997,0.0,0.0,0.0,0.0
1,T4D21,TMP,V041,4,400.0,400.0,160.0,0.5573,0.5087,0.5076,0.5250999999999999,0.5164,0.43320000000000003,0.37060000000000004,0.1878,0.0,0.008699999999999986,0.0169,0.0
2,T4D21,TMP,V041,4,400.0,400.0,160.0,0.5093,0.4865,0.5137,0.48810000000000003,0.4975,0.4315,0.3602,0.1914,0.0,0.006599999999999995,0.039699999999999985,0.0
3,T4D21,TMP,V041,4,400.0,400.0,160.0,0.5488,0.4934,0.5142,0.49579999999999996,0.5059,0.4328,0.36210000000000003,0.1606,0.0,0.009699999999999986,0.027400000000000008,0.0
4,T4D21,TMP,V041,4,400.0,400.0,160.0,0.5126,0.5183000000000001,0.506,0.5078999999999999,0.5161,0.441,0.3709,0.13119999999999998,0.0,0.011399999999999993,0.0,0.0
5,T4D21,TMP,V041,4,400.0,400.0,160.0,0.5156999999999999,0.5043000000000001,0.5062,0.5084,0.5138999999999999,0.4519,0.3764,0.1765,0.0,0.0,0.0,0.0
6,T4D21,TMP,V041,4,400.0,400.0,160.0,0.5448,0.5017,0.5025000000000001,0.5146999999999999,0.5153,0.44480000000000003,0.3804,0.1777,0.0,0.01949999999999999,0.003400000000000014,0.0
